Date,Revenue ($000s),Particulars,Download Link
2021-01-01,271.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-01-01,271.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-02-01,1757.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-02-01,1757.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-03-01,130.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-03-01,130.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-04-01,41.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-04-01,41.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-05-01,44.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-05-01,44.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-06-01,184.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-06-01,184.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-07-01,270.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-07-01,270.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-08-01,43.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-08-01,43.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-09-01,64.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2021-09-01,64.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4166098
2015-01-01,1072.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-01-01,1775.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-01-01,2847.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-02-01,3744.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-02-01,54.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-02-01,3798.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-03-01,776.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-03-01,926.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-03-01,1702.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-04-01,0.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-04-01,1063.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-04-01,1063.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-05-01,114.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-05-01,2476.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-05-01,2589.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-06-01,69.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-06-01,2731.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-06-01,2800.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-07-01,2.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-07-01,3289.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-07-01,3291.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-08-01,44.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-08-01,3776.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-08-01,3820.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-09-01,,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-09-01,4297.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-09-01,4297.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-10-01,102.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-10-01,3833.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-10-01,3935.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-11-01,1.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-11-01,2076.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-11-01,2077.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-12-01,17.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-12-01,1178.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2015-12-01,1195.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2931820
2016-01-01,71.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-01-01,684.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-01-01,755.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-02-01,143.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-02-01,875.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-02-01,1018.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-03-01,10.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-03-01,757.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-03-01,767.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-04-01,282.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-04-01,1406.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-04-01,1688.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-05-01,1300.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-05-01,1218.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-05-01,2518.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-06-01,284.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-06-01,857.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-06-01,1141.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-07-01,118.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-07-01,1533.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-07-01,1651.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-08-01,471.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-08-01,2700.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-08-01,3171.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-09-01,211.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-09-01,3296.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-09-01,3507.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-10-01,99.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-10-01,4159.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-10-01,4258.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-11-01,537.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-11-01,2306.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-11-01,2843.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-12-01,199.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-12-01,976.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2016-12-01,1175.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3194769
2017-01-01,127.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-01-01,155.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-01-01,282.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-02-01,35.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-02-01,33.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-02-01,68.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-03-01,246.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-03-01,633.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-03-01,879.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-04-01,120.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-04-01,596.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-04-01,716.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-05-01,87.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-05-01,662.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-05-01,749.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-06-01,29.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-06-01,384.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-06-01,413.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-07-01,715.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-07-01,1315.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-07-01,2030.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-08-01,296.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-08-01,1262.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-08-01,1558.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-09-01,2088.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-09-01,1070.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-09-01,3158.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-10-01,1019.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-10-01,2007.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-10-01,3026.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-11-01,303.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-11-01,679.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-11-01,982.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-12-01,683.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-12-01,1953.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2017-12-01,2636.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3490061
2018-01-01,2868.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-01-01,5117.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-01-01,7985.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-02-01,364.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-02-01,3379.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-02-01,3743.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-03-01,165.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-03-01,287.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-03-01,452.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,355.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,1068.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-04-01,1423.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,130.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-05-01,526.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,513.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,383.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-06-01,897.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,927.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-07-01,1323.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,1051.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-08-01,1447.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,365.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,384.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-09-01,748.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,153.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,396.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-10-01,549.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,161.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,0.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-11-01,161.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,882.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,1642.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2018-12-01,2524.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754250
2019-01-01,799.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-01-01,5690.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-01-01,6489.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,143.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,4098.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-02-01,4241.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,205.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,1347.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-03-01,1552.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,1761.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-04-01,1761.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,272.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-05-01,272.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,-1338.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-06-01,-1338.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,199.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-07-01,199.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,48.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-08-01,48.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,36.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-09-01,36.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,34.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-10-01,34.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,174.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,342.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-11-01,516.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,227.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2019-12-01,4229.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3909741
2020-01-01,317.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-01-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-01-01,4319.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,355.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,3744.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-02-01,4099.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,174.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,4002.0,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-03-01,4176.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,17.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-04-01,17.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,48.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-05-01,48.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,24.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-06-01,24.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,122.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-07-01,122.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,6.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-08-01,6.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,74.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-09-01,74.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,25.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-10-01,25.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,142.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-11-01,142.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,0.0,IT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,,STFT,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
2020-12-01,-9.0,Total,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4049923
